Company Name,Company Address
"Emipro Technologies Pvt. Ltd.,Oodu Implementers Private Limited,Prixgen Tech Solutions Private Limited,Browseinfo,Planet-Odoo",

Company Name,Company Address

Emipro Technologies Pvt. Ltd.,
Planet-Odoo,
Browseinfo,
Oodu Implementers Private Limited,
Prixgen Tech Solutions Private Limited,


Company Name,Company Address
Emipro Technologies Pvt. Ltd.,
Planet-Odoo,
Browseinfo,
Oodu Implementers Private Limited,
Prixgen Tech Solutions Private Limited,


Company Name,Company Address
Oodu Implementers Private Limited,"# 19, A Block, Kurinji Nagar,"
Browseinfo,"A-901, Navaratna Corporate Park, Iscon - Ambli Road"
Emipro Technologies Pvt. Ltd.,"2nd Floor, “Shyamantak”, Everest Park,"
Planet-Odoo,"302,Neo Corporate Plaza,"
Prixgen Tech Solutions Private Limited,"#244, Kalabhairaveshwara Complex,"


Company Name,Company Address
Prixgen Tech Solutions Private Limited,"#244, Kalabhairaveshwara Complex,"
Browseinfo,"A-901, Navaratna Corporate Park, Iscon - Ambli Road"
Oodu Implementers Private Limited,"# 19, A Block, Kurinji Nagar,"
Emipro Technologies Pvt. Ltd.,"2nd Floor, “Shyamantak”, Everest Park,"
Planet-Odoo,"302,Neo Corporate Plaza,"
